      1         0.717 DT     0200 Rx 8  01 7A 24 01 7A 25 00 00 
      2         1.819 DT     0200 Rx 8  01 7A 24 01 7A 25 00 00 
      3         2.919 DT     0200 Rx 8  01 7A 24 01 7A 25 00 00 
      4         4.020 DT     0200 Rx 8  01 7A 24 01 7A 25 00 00 
      5         5.120 DT     0200 Rx 8  01 7A 24 01 7A 25 00 00 
      6         6.220 DT     0200 Rx 8  01 7A 24 01 7A 25 00 00 
      7         7.320 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
      8         7.821 DT     0001 Rx 8  00 01 7A 23 00 00 00 C2 
      9         8.418 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
     10         9.518 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
     11        10.618 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
     12        11.720 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
     13        12.821 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
     14        13.921 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
     15        15.021 DT     0200 Rx 8  01 7A 24 01 7A 25 00 00 
     16        16.121 DT     0200 Rx 8  01 7A 24 01 7A 25 00 00 
     17        17.221 DT     0200 Rx 8  01 7A 24 01 7A 25 00 00 
     18        17.828 DT     0001 Rx 8  00 01 7A 24 00 00 00 C2 
     19        18.320 DT     0200 Rx 8  01 7A 24 01 7A 25 00 00 
     20        19.420 DT     0200 Rx 8  01 7A 24 01 7A 25 00 00 
     21        20.520 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
     22        21.620 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
     23        22.723 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
     24        23.823 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
     25        24.923 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
     26        26.023 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
     27        27.124 DT     0200 Rx 8  01 7A 23 01 7A 25 00 00 
